CODE,DESCRIPTION,DEPARTMENT,STANDARDCOST,LASTCOST,AVERAGECOST,PRICE1,PRICE4,SUPPLIER,DISCONTINUE
177,Rice Chheda big,12,1.58,1.4526,1.4526,2.5,0.0,12.0,True
178,jug blackrock 2 cans,14,0.0,6.9566,6.9624,0.0,15.0,0.0,False
179,POPS 1Litre,18,1.72,1.5847,1.5847,2.5,0.0,96.0,True
180,Fijian H2O Water 1.5L,18,1.0,1.1,1.1025,2.5,5.0,96.0,True
181,Peanut pkt Chilli,12,1.5,1.522,1.522,2.0,2.0,45.0,True
182,lamb bbq chops,15,0.0,2.4712,2.4575,0.0,0.0,99.0,False
183,Jug Rum Cola,14,8.1,9.2127,9.393,21.0,20.0,0.0,False
184,REWA BUTTER 125G,24,0.0,3.0779,3.0779,4.15,0.0,22.0,False
185,Regal Gin shots,21,5.0,5.0,5.0,10.0,5.0,0.0,False
186,Sambucca 1L,14,105.0,99.5141,99.5141,200.0,200.0,0.0,True
187,Kahlua shots,21,5.0,5.0,5.0,15.0,15.0,0.0,False
188,Quick Fuck,21,7.0,7.0,7.0,5.0,12.0,0.0,True
189,JagerBomb,21,7.0,7.0,7.0,5.0,10.0,0.0,True
190,Slipery Nipple,21,7.0,7.0,7.0,5.0,10.0,0.0,True
191,Kamikazi,21,7.0,7.0,7.0,5.0,12.0,0.0,True
192,Lemon Drop,21,7.0,7.0,7.0,5.0,9.0,0.0,True
193,Three Wise Men,21,10.0,10.0,10.0,5.0,12.0,0.0,True
194,B-52,21,7.0,7.0,7.0,5.0,10.0,0.0,True
195,Screaming Orgasm,21,7.0,7.0,7.0,5.0,12.0,0.0,True
196,Baileys,21,7.0,7.0,7.0,5.0,10.0,0.0,True
197,Jack Daniels shots,21,7.0,7.0,7.0,5.0,10.0,0.0,False
198,Black Label,21,7.0,7.0,7.0,5.0,9.0,0.0,True
199,Red Label,21,7.0,7.0,7.0,5.0,9.0,0.0,True
